avg_price,year,brand_of_car,model_of_car,volume_of_car
1700000,1992,Audi,100,2.3
1796129,1993,Audi,80,2.6
918863,1989,Audi,80,2.0
2448266,1993,Audi,100,2.6
2237863,1992,Audi,100,2.0
989552,1991,Audi,80,1.8
3200000,1999,Audi,A6,2.5
808409,1989,Audi,80,1.8
1696054,1991,Audi,100,2.3
2303265,1994,Audi,100,2.0
3021428,2000,Audi,A6,2.8
57062500,2022,Audi,Q8,3.0
1425676,1990,Audi,100,2.3
42695333,2019,Audi,Q8,3.0
21500000,2018,Audi,A6,2.0
2090468,1993,Audi,100,2.6
2275513,1994,Audi,100,2.6
1894744,1992,Audi,100,2.8
9000000,2010,Audi,A7,2.8
33000000,2022,BAIC,BJ80,3.0
58828532,2020,BMW,X7,3.0
11729090,2011,BMW,750,4.4
6920930,2007,BMW,530,3.0
34014705,2021,BMW,530,2.0
4647115,2003,BMW,735,3.6
3900000,2003,BMW,316,1.8
5181896,2002,BMW,530,3.0
4613518,2000,BMW,530,3.0
14636428,2013,BMW,X6,3.0
30600000,2016,BMW,750,4.4
15999421,2017,BMW,X1,2.0
12214285,2010,BMW,X6,4.4
36971428,2022,BMW,540,3.0
53811560,2022,BMW,X5,3.0
6256666,2005,BMW,740,4.0
67953333,2021,BMW,X5,4.4
3194590,1997,BMW,528,2.8
1169157,1993,BMW,518,1.8
77000000,2016,Bentley,Bentayga,6.0
90000000,2018,Bentley,Bentayga,4.0
89000000,2018,Bentley,Bentayga,6.0
59000000,2014,Bentley,Mulsanne,6.8
63000000,2013,Bentley,Mulsanne,6.8
65000000,2013,Bentley,Mulsanne,6.8
18000000,2016,Cadillac,CT6,3.6
40218148,2020,Cadillac,Escalade,6.2
20485571,2022,Changan,UNI-K,2.0
13057765,2020,Chevrolet,Malibu,2.0
8500000,2004,Chevrolet,Suburban,8.1
3395098,2010,Chevrolet,Cruze,1.6
4795530,2020,Chevrolet,Nexia,1.5
8050496,2013,Chevrolet,Captiva,2.4
8050496,2013,Chevrolet,Captiva,2.4
5223913,2015,Chevrolet,Cruze,1.8
4259302,2013,Chevrolet,Cruze,1.6
7107940,2022,Chevrolet,Cobalt,1.5
10434420,2021,Chevrolet,Tracker,1.0
5119720,2021,Chevrolet,Nexia,1.5
5479290,2020,Chevrolet,Nexia,1.5
13330803,2022,Chevrolet,Captiva,1.5
13057765,2020,Chevrolet,Malibu,2.0
10134043,2018,Chevrolet,Malibu,2.0
7107940,2022,Chevrolet,Cobalt,1.5
4092672,2013,Chevrolet,Cruze,1.6
8851818,2017,Chevrolet,Malibu,2.0
4516885,2016,Chevrolet,Niva,1.7
6800000,2007,Chrysler,Pacifica,4.0
12900000,2006,Chrysler,300C,6.1
7777777,2005,Chrysler,300C,5.7
5300000,2004,Chrysler,Pacifica,3.5
850000,2003,Chrysler,Sebring,2.4
4883233,2005,Chrysler,300C,3.5
5153919,2008,Chrysler,300C,2.7
5500000,2006,Chrysler,300C,3.5
3650000,2004,Chrysler,Pacifica,3.5
7802000,2004,Chrysler,Crossfire,3.2
4618603,2005,Chrysler,300C,2.7
2200000,1998,Chrysler,Voyager,3.0
5153919,2008,Chrysler,300C,2.7
3141666,2007,Chrysler,Sebring,2.4
1142857,1995,Chrysler,Stratus,2.5
4500000,2013,Citroen,C-Elysée,1.6
5000000,2011,Citroen,C-Crosser,2.0
1300000,2003,Citroen,C3,1.6
2500000,2010,Citroen,C1,1.0
2800000,2013,Citroen,C4,1.6
2300000,2002,Citroen,C5,2.0
3200000,2008,Citroen,C5,2.0
8300000,2010,Citroen,Jumper,3.0
5800000,2014,Citroen,C4,1.6
4000000,2012,Citroen,C5,1.6
5700000,2013,Citroen,Berlingo,1.6
4500000,2010,Citroen,Jumper,2.2
5000000,2012,Citroen,Jumper,2.2
2800000,2011,Citroen,C4,2.0
1700000,2001,Citroen,C5,2.0
1957512,2012,Daewoo,Nexia,1.5
1487094,2012,Daewoo,Matiz,0.8
1658342,2010,Daewoo,Nexia,1.5
1540975,2009,Daewoo,Nexia,1.5
1540975,2009,Daewoo,Nexia,1.5
888676,2002,Daewoo,Nexia,1.5
