name,avg_price,car_info
Audi 100 1992 г.,1 700 000 ₸,"Город
Актау
Поколение
1990 - 1994 4 поколение (C4)
Кузов
седан
Объем двигателя, л
2.3 (газ)
Коробка передач
механика
Привод
передний привод
Руль
слева
Цвет
фиолетовый
Растаможен в Казахстане
Да"
Audi 80 1993 г.,1 796 129 ₸,"Город
Алматы
Поколение
1991 - 1996 B4
Кузов
универсал
Объем двигателя, л
2.6 (бензин)
Коробка передач
механика
Привод
передний привод
Руль
слева
Цвет
зеленый
Растаможен в Казахстане
Да"
Audi 80 1989 г.,918 863 ₸,"Город
Аксу
Поколение
1986 - 1991 B3
Кузов
седан
Объем двигателя, л
2 (бензин)
Пробег
11 111 км
Коробка передач
механика
Привод
передний привод
Руль
слева
Цвет
жёлтый металлик
Растаможен в Казахстане
Да"
Audi 100 1993 г.,2 448 266 ₸,"Город
Караганда
Поколение
1990 - 1994 4 поколение (C4)
Кузов
седан
Объем двигателя, л
2.6 (бензин)
Пробег
380 000 км
Коробка передач
автомат
Привод
передний привод
Руль
слева
Цвет
вишня металлик
Растаможен в Казахстане
Да"
Audi 100 1992 г.,2 237 863 ₸,"Город
Шымкент
Поколение
1990 - 1994 4 поколение (C4)
Кузов
универсал
Объем двигателя, л
2 (бензин)
Пробег
300 000 км
Коробка передач
механика
Привод
передний привод
Руль
слева
Растаможен в Казахстане
Да"
Audi 80 1991 г.,989 552 ₸,"Город
Шымкент
Поколение
1986 - 1991 B3
Кузов
седан
Объем двигателя, л
1.8 (бензин)
Коробка передач
механика
Привод
передний привод
Руль
слева
Растаможен в Казахстане
Да"
Audi A6 1999 г.,3 200 000 ₸,"Город
Костанай
Поколение
1997 - 2001 C5
Кузов
седан
Объем двигателя, л
2.5 (дизель)
Пробег
400 000 км
Коробка передач
автомат
Привод
передний привод
Руль
слева
Цвет
черный металлик
Растаможен в Казахстане
Да"
Audi 80 1989 г.,808 409 ₸,"Город
Караганда
Поколение
1986 - 1991 B3
Кузов
седан
Объем двигателя, л
1.8 (бензин)
Пробег
111 111 км
Коробка передач
механика
Привод
передний привод
Руль
слева
Цвет
вишня
Растаможен в Казахстане
Да"
Audi 100 1991 г.,1 696 054 ₸,"Город
Шымкент
Поколение
1990 - 1994 4 поколение (C4)
Кузов
седан
Объем двигателя, л
2.3 (бензин)
Пробег
222 225 км
Коробка передач
механика
Привод
передний привод
Руль
слева
Цвет
черный
Растаможен в Казахстане
Да"
Audi 100 1994 г.,2 303 265 ₸,"Город
Шу
Поколение
1990 - 1994 4 поколение (C4)
Кузов
универсал
Объем двигателя, л
2 (бензин)
Пробег
287 000 км
Коробка передач
механика
Привод
передний привод
Руль
слева
Растаможен в Казахстане
Да"
